% Model:              AC -220722 - Compressor.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 20:34
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, |Z<sub>ac</sub>|
205.94440606884388        2.0360210036035772E7
206.53801558105292        2.0301656976642676E7
207.13333609993484        2.0243272103338223E7
207.7303725572563         2.0185054927620392E7
208.32912989899995        2.012700496645162E7
208.92961308540387        2.006912174522514E7
209.53182709100417        2.001140477791798E7
210.13577690467469        1.9953853588532824E7
210.74146752966985        1.9896467704384048E7
211.34890398366477        1.983924664504494E7
211.95809129879737        1.9782189935805663E7
212.56903452171076        1.972529710691773E7
213.1817387135935         1.966856768687223E7
213.79620895022325        1.9612001204330385E7
214.41245032200715        1.9555597193924785E7
215.03046793402564        1.9499355184476398E7
215.65026690607334        1.944327471166233E7
216.271852372702          1.9387355308055926E7
216.89522948326376        1.933159651425484E7
217.52040340195222        1.927599786954108E7
218.14737930784707        1.9220558910630472E7
218.77616239495518        1.9165279176294822E7
219.40675787225535        1.9110158212933093E7
220.03917096373996        1.9055195559129972E7
220.673406908459          1.900039076360659E7
221.30947096056389        1.8945743372731496E7
221.94736838934972        1.889125293023099E7
222.58710447930054        1.8836918985226795E7
223.2286845301314         1.8782741089509178E7
223.872113856834          1.87287187952716E7
224.51739778971898        1.867485165369714E7
225.1645416744618         1.8621139215992205E7
225.81355087214533        1.8567581040072948E7
226.46443075930597        1.8514176681572117E7
227.11718672797664        1.8460925697858803E7
227.77182418573219        1.840782764934336E7
228.42834855573477        1.8354882092519827E7
229.08676527677724        1.8302088591120318E7
229.74707980333002        1.824944670974319E7
230.40929760558447        1.819695600869185E7
231.07342416950002        1.8144616055981144E7
231.73946499684797        1.809242641428768E7
232.40742560525788        1.8040386653717298E7
233.07731152826386        1.7988496344429985E7
233.7491283153488         1.7936755054190125E7
234.42288153199226        1.7885162356351342E7
235.0985767597147         1.7833717822492603E7
235.77621959612546        1.7782421026372094E7
236.45581565496772        1.773127154281456E7
237.13737056616552        1.768026894775752E7
237.8208899758712         1.762941281888219E7
238.50637954651052        1.757870273669941E7
239.19384495683136        1.7528138278477844E7
