% Model:              AC -220722 - Compressor.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 20:34
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, arg(Z<sub>ac</sub>)
132.20564520542297        -90
132.58671177605595        -90
132.9688767243793         -90
133.3521432163324         -90
133.73651442697962        -90
134.1219935405371         -90
134.50858375039945        -90
134.89628825916532        -90
135.28511027866506        -90
135.67505302998612        -90
136.06611974350088        -90
136.4583136588924         -90
136.85163802518215        -90
137.24609610075626        -90
137.6416911533926         -90
138.03842646028852        -90
138.4363053080869         -90
138.83533099290457        -90
139.23550682035835        -90
139.63683610559377        -90
140.03932217331138        -90
140.44296835779474        -90
140.84777800293858        -90
141.2537544622754         -90
141.66090109900438        -90
142.06922128601818        -90
142.47871840593191        -90
142.8893958511102         -90
143.30125702369628        -90
143.71430533563912        -90
144.12854420872233        -90
144.5439770745928         -90
144.96060737478808        -90
145.37843856076623        -90
145.79747409393298        -90
146.21771744567184        -90
146.63917209737153        -90
147.06184154045604        -90
147.4857292764125         -90
147.91083881682073        -90
148.33717368338253        -90
148.76473740795015        -90
149.19353353255647        -90
149.6235656094433         -90
150.05483720109186        -90
150.48735188025145        -90
150.9211132299693         -90
151.35612484362088        -90
151.79239032493837        -90
152.22991328804204        -90
152.66869735746866        -90
153.10874616820303        -90
153.55006336570662        -90
153.9926526059492         -90
154.4365175554379         -90
154.88166189124811        -90
155.32808930105446        -90
155.7758034831602         -90
156.22480814652906        -90
156.67510701081486        -90
157.12670380639344        -90
157.57960227439236        -90
158.03380616672317        -90
158.48931924611142        -90
158.94614528612814        -90
159.4042880712218         -90
159.86375139674837        -90
160.32453906900417        -90
160.786654905256          -90
161.25010273377416        -90
161.71488639386294        -90
162.18100973589299        -90
162.64847662133363        -90
163.1172909227838         -90
163.58745652400532        -90
164.05897731995387        -90
164.5318572168125         -90
165.00610013202268        -90
165.48170999431815        -90
165.95869074375614        -90
166.4370463317507         -90
166.91678072110582        -90
167.3978978860471         -90
167.88040181225605        -90
168.36429649690177        -90
168.84958594867533        -90
169.33627418782172        -90
169.82436524617444        -90
170.31386316718778        -90
170.8047720059708         -90
171.29709582932136        -90
171.79083871575875        -90
172.2860047555588         -90
172.78259805078628        -90
173.2806227153304         -90
173.78008287493762        -90
174.2809826672464         -90
174.78332624182192        -90
175.28711776018926        -90
175.7923613958693         -90
176.2990613344119         -90
176.80722177343196        -90
177.31684692264275        -90
177.82794100389228        -90
178.34050825119692        -90
178.85455291077713        -90
179.37007924109307        -90
179.88709151287873        -90
180.40559400917866        -90
180.92559102538203        -90
181.44708686925964        -90
181.97008586099827        -90
182.49459233323773        -90
183.02061063110568        -90
183.54814511225402        -90
184.07720014689562        -90
184.60778011783924        -90
185.13988942052723        -90
185.67353246307053        -90
186.20871366628674        -90
186.7454374637353         -90
187.28370830175484        -90
187.8235306395006         -90
188.36490894898           -90
188.90784771509132        -90
189.45235143565915        -90
189.9984246214733         -90
190.54607179632484        -90
191.09529749704404        -90
191.64610627353872        -90
192.1985026888304         -90
192.75249131909365        -90
193.30807675369272        -90
193.86526359522077        -90
194.42405645953662        -90
194.98445997580455        -90
195.54647878653103        -90
196.11011754760474        -90
196.6753809283339         -90
197.24227361148533        -90
197.81080029332404        -90
198.38096568365052        -90
198.95277450584163        -90
199.52623149688787        -90
200.10134140743443        -90
200.678109001819          -90
201.25653905811188        -90
201.83663636815618        -90
202.41840573760612        -90
203.00185198596844        -90
203.5869799466407         -90
204.17379446695296        -90
204.76230040820647        -90
205.3525026457146         -90
205.94440606884388        -90
206.53801558105292        -90
207.13333609993484        -90
207.7303725572563         -90
208.32912989899995        -90
208.92961308540387        -90
209.53182709100417        -90
210.13577690467469        -90
210.74146752966985        -90
211.34890398366477        -90
211.95809129879737        -90
212.56903452171076        -90
213.1817387135935         -90
213.79620895022325        -90
214.41245032200715        -90
215.03046793402564        -90
215.65026690607334        -90
216.271852372702          -90
216.89522948326376        -90
217.52040340195222        -90
218.14737930784707        -90
218.77616239495518        -90
219.40675787225535        -90
220.03917096373996        -90
220.673406908459          -90
221.30947096056389        -90
221.94736838934972        -90
222.58710447930054        -90
223.2286845301314         -90
223.872113856834          -90
224.51739778971898        -90
225.1645416744618         -90
225.81355087214533        -90
226.46443075930597        -90
227.11718672797664        -90
227.77182418573219        -90
228.42834855573477        -90
229.08676527677724        -90
229.74707980333002        -90
230.40929760558447        -90
231.07342416950002        -90
231.73946499684797        -90
232.40742560525788        -90
233.07731152826386        -90
233.7491283153488         -90
234.42288153199226        -90
235.0985767597147         -90
235.77621959612546        -90
236.45581565496772        -90
237.13737056616552        -90
237.8208899758712         -90
238.50637954651052        -90
239.19384495683136        -90
239.88329190194898        -90
240.57472609339513        -90
241.26815325916328        -90
241.96357914375818        -90
242.66100950824142        -90
243.36045013028115        -90
244.06190680419814        -90
244.76538534101462        -90
245.4708915685031         -90
246.17843133123299        -90
246.8880104906209         -90
247.59963492497727        -90
248.31331052955704        -90
249.02904321660677        -90
249.74683891541434        -90
250.4667035723588         -90
251.18864315095797        -90
251.91266363191968        -90
252.63877101318954        -90
253.36697131000244        -90
254.09727055493065        -90
254.82967479793464        -90
255.56419010641395        -90
256.30082256525554        -90
257.03957827688646        -90
257.78046336132206        -90
258.52348395621914        -90
259.26864621692425        -90
260.0159563165272         -90
260.7654204459099         -90
261.5170448137997         -90
262.27083564681914        -90
263.02679918953817        -90
263.7849417045267         -90
264.54526947240487        -90
265.30778879189677        -90
266.0725059798809         -90
266.83942737144423        -90
267.6085593199333         -90
268.3799081970073         -90
269.1534803926917         -90
269.9292823154293         -90
270.7073203921358         -90
271.4876010682502         -90
272.27013080779125        -90
273.0549160934083         -90
273.8419634264361         -90
274.6312793269498         -90
275.4228703338166         -90
276.21674300475223        -90
277.01290391637326        -90
277.8113596642536         -90
278.61211686297696        -90
279.41518214619384        -90
280.22056216667454        -90
281.028263596366          -90
281.8382931264455         -90
282.65065746737685        -90
283.4653633489668         -90
284.28241752041873        -90
285.10182675039096        -90
285.9235978270505         -90
286.74773755813163        -90
287.57425277099003        -90
288.40315031266056        -90
289.23443704991473        -90
290.0681198693153         -90
290.90420567727614        -90
291.7427014001166         -90
292.5836139841216         -90
293.42695039559703        -90
294.2727176209282         -90
295.1209226666387         -90
295.9715725594465         -90
296.8246743463243         -90
297.68023509455566        -90
298.538261891796          -90
299.39876184612876        -90
300.26174208612673        -90
301.12720976090884        -90
301.9951720402016         -90
302.8656361143965         -90
303.73860919461043        -90
304.6140985127464         -90
305.49211132155125        -90
306.37265489467813        -90
307.25573652674456        -90
308.1413635333949         -90
309.0295432513592         -90
309.9202830385147         -90
310.8135902739477         -90
311.70947235801253        -90
312.6079367123956         -90
313.50899078017386        -90
314.4126420258796         -90
315.3188979355595         -90
316.22776601683796        -90
317.1392537989798         -90
318.05336883295206        -90
318.9701186914858         -90
319.88951096913974        -90
320.81155328236366        -90
321.7362532695601         -90
322.66361859114824        -90
323.5936569296281         -90
324.5263759896437         -90
325.46178349804603        -90
326.3998872039577         -90
327.3406948788383         -90
328.28421431654635        -90
329.23045333340656        -90
330.1794197682719         -90
331.1311214825911         -90
332.0855663604718         -90
333.0427623087463         -90
334.0027172570387         -90
334.9654391578276         -90
335.9309359865153         -90
336.8992157414906         -90
337.87028644419826        -90
338.84415613920277        -90
339.82083289425594        -90
340.8003248003648         -90
341.7826399718576         -90
342.76778654645045        -90
343.7557726853155         -90
344.74660657314945        -90
345.7402964182394         -90
346.73685045253166        -90
347.7362769317011         -90
348.7385841352184         -90
349.74378036641804        -90
350.75187395256796        -90
351.76287324493944        -90
352.7767866188738         -90
353.7936224738549         -90
354.8133892335753         -90
355.8360953460096         -90
356.86174928348134        -90
357.8903595427346         -90
358.92193464500536        -90
359.9564831360895         -90
360.9940135864167         -90
362.03453459111824        -90
363.0780547701014         -90
