Displacement [mm] - FD curve	Force [N] - FD curve	
2.299	0.000892087	
2.30175	-0.000734389	
2.3045	0.0013475	
2.30725	0.00147762	
2.31	0.0024535	
2.31275	-0.00372711	
2.3155	-0.00105968	
2.31825	0.00115232	
2.321	4.63193E-5	
2.32375	-0.000994626	
2.3265	-0.00066933	
2.32925	0.00128244	
2.332	0.00108726	
2.33475	-0.000994626	
2.3375	0.000566792	
2.34025	0.000436674	
2.343	-0.00171028	
2.34575	-0.00131992	
2.3485	0.000306556	
2.35125	0.00102221	
2.354	0.000957146	
2.35675	0.000957146	
2.3595	0.000111378	
2.36225	0.000241496	
2.365	-0.000409094	
2.36775	-0.000148858	
2.3705	0.00108726	
2.37325	0.00108726	
2.376	-1.87397E-5	
2.37875	-0.000344035	
2.3815	0.000436674	
2.38425	-0.000539212	
2.387	0.00069691	
2.38975	-0.000409094	
2.3925	0.000241496	
2.39525	-0.00138498	
2.398	0.000501733	
2.40075	-0.00171028	
2.4035	-0.0015151	
2.40625	0.0024535	
2.409	-0.000213917	
2.41175	-1.87397E-5	
2.4145	0.000631851	
2.41725	-0.000994626	
2.42	0.00121738	
2.42275	0.000501733	
2.4255	0.000892087	
2.42825	0.00160774	
2.431	-0.000604271	
2.43375	0.000306556	
2.4365	-0.00066933	
2.43925	0.00264868	
2.442	0.00069691	
2.44475	-0.000409094	
2.4475	0.000892087	
2.45025	-0.00131992	
2.453	0.0016728	
2.45575	0.00141256	
2.4585	-1.87397E-5	
2.46125	-1.87397E-5	
2.464	-0.00066933	
2.46675	0.00160774	
2.4695	0.00180291	
2.47225	-0.00171028	
2.475	0.0013475	
2.47775	-0.000344035	
2.4805	0.000241496	
2.48325	0.000371615	
2.486	4.63193E-5	
2.48875	-0.00223075	
2.4915	-0.00177533	
2.49425	-0.000799448	
2.497	-0.00125486	
2.49975	-0.000409094	
2.5025	-0.000278976	
2.50525	-0.00177533	
2.508	0.00069691	
2.51075	-0.000799448	
2.5135	0.000306556	
2.51625	0.000371615	
2.519	-0.00125486	
2.52175	0.00173785	
2.5245	0.000892087	
2.52725	-0.0015151	
2.53	0.00193303	
2.53275	0.000827028	
2.5355	-0.000278976	
2.53825	-0.000213917	
2.541	-0.000539212	
2.54375	0.00147762	
2.5465	-0.000604271	
2.54925	0.000566792	
2.552	0.00173785	
2.55475	-8.37988E-5	
2.5575	0.000957146	
2.56025	-0.000474153	
2.563	0.000241496	
2.56575	-0.00066933	
2.5685	-0.000474153	
2.57125	0.00225833	
2.574	-0.00203557	
2.57675	-0.00171028	
2.5795	0.000241496	
2.58225	-0.00125486	
2.585	4.63193E-5	
2.58775	0.000176437	
2.5905	-0.000344035	
2.59325	0.000371615	
2.596	-0.000799448	
2.59875	-0.000409094	
2.6015	4.63193E-5	
2.60425	-0.000278976	
2.607	-0.00164522	
2.60975	-0.00145004	
2.6125	0.000566792	
2.61525	0.000957146	
2.618	-0.00131992	
2.62075	0.000566792	
2.6235	-0.000278976	
2.62625	-0.000213917	
2.629	0.000892087	
2.63175	-0.000734389	
2.6345	0.00199809	
2.63725	-0.0011898	
2.64	-0.000799448	
2.64275	0.00115232	
2.6455	-8.37988E-5	
2.64825	-0.000864507	
2.651	-0.00158016	
2.65375	-0.000474153	
2.6565	0.000501733	
2.65925	4.63193E-5	
2.662	0.000501733	
2.66475	0.00447033	
2.6675	-0.00145004	
2.67025	0.00199809	
2.673	0.000111378	
2.67575	-0.000278976	
2.6785	0.00115232	
2.68125	-0.000409094	
2.684	0.00108726	
2.68675	-0.0015151	
2.6895	-0.000344035	
2.69225	4.63193E-5	
2.695	0.000241496	
2.69775	0.000566792	
2.7005	-0.000604271	
2.70325	-0.00105968	
2.706	-0.000864507	
2.70875	-0.000344035	
2.7115	0.000957146	
2.71425	-0.00216569	
2.717	0.000827028	
2.71975	0.00102221	
2.7225	-0.00255604	
2.72525	0.00173785	
2.728	0.000761969	
2.73075	-0.000278976	
2.7335	0.0111714	
2.73625	0.0013475	
2.739	-0.000474153	
2.74175	-0.00229581	
2.7445	-0.000474153	
2.74725	0.000501733	
2.75	-0.00138498	
2.74725	0.00115232	
2.7445	-0.000409094	
2.74175	-0.00138498	
2.739	0.000957146	
2.73625	0.000371615	
2.7335	-0.0026211	
2.73075	0.00108726	
2.728	-0.000734389	
2.72525	-0.00138498	
2.7225	-0.00164522	
2.71975	-0.0011898	
2.717	0.000957146	
2.71425	0.000306556	
2.7115	-0.000278976	
2.70875	-0.00066933	
2.706	-0.000539212	
2.70325	4.63193E-5	
2.7005	-0.000213917	
2.69775	-0.0011898	
2.695	-0.00105968	
2.69225	-0.00275122	
2.6895	0.000176437	
2.68675	0.000371615	
2.684	-0.00138498	
2.68125	0.00238845	
