Displacement [mm] - FD curve	Force [N] - FD curve	
1.44375	0.00244648	
1.4465	0.00244648	
1.44925	0.00244648	
1.452	0.00244648	
1.45475	0.00244648	
1.4575	0.00244648	
1.46025	0.00254842	
1.463	0.00254842	
1.46575	0.00254842	
1.4685	0.00254842	
1.47125	0.00265036	
1.474	0.00265036	
1.47675	0.00265036	
1.4795	0.00265036	
1.48225	0.00265036	
1.485	0.00265036	
1.48775	0.00265036	
1.4905	0.00265036	
1.49325	0.00275229	
1.496	0.00275229	
1.49875	0.00275229	
1.5015	0.00275229	
1.50425	0.00285423	
1.507	0.00285423	
1.50975	0.00285423	
1.5125	0.00295617	
1.51525	0.00295617	
1.518	0.00295617	
1.52075	0.00295617	
1.5235	0.00295617	
1.52625	0.00295617	
1.529	0.0030581	
1.53175	0.0030581	
1.5345	0.0030581	
1.53725	0.0030581	
1.54	0.0030581	
1.54275	0.0030581	
1.5455	0.0030581	
1.54825	0.0030581	
1.551	0.00316004	
1.55375	0.00316004	
1.5565	0.00326198	
1.55925	0.00326198	
1.562	0.00326198	
1.56475	0.00336391	
1.5675	0.00336391	
1.57025	0.00346585	
1.573	0.00346585	
1.57575	0.00356779	
1.5785	0.00356779	
1.58125	0.00366972	
1.584	0.00366972	
1.58675	0.00366972	
1.5895	0.00366972	
1.59225	0.00377166	
1.595	0.0038736	
1.59775	0.0038736	
1.6005	0.00397554	
1.60325	0.00397554	
1.606	0.00397554	
1.60875	0.00407747	
1.6115	0.00407747	
1.61425	0.00407747	
1.617	0.00417941	
1.61975	0.00417941	
1.6225	0.00428135	
1.62525	0.00428135	
1.628	0.00438328	
1.63075	0.00438328	
1.6335	0.00438328	
1.63625	0.00448522	
1.639	0.00448522	
1.64175	0.00458716	
1.6445	0.00468909	
1.64725	0.00468909	
1.65	0.00468909	
1.65275	0.00479103	
1.6555	0.00479103	
1.65825	0.00489297	
1.661	0.00489297	
1.66375	0.00489297	
1.6665	0.00509684	
1.66925	0.00530071	
1.672	0.0058104	
1.67475	0.00733945	
1.6775	0.00805301	
1.68025	0.00876656	
1.683	0.0102956	
1.68575	0.0111111	
1.6885	0.0126402	
1.69125	0.0133537	
1.694	0.0141692	
1.69675	0.0156983	
1.6995	0.0165138	
1.70225	0.0172273	
1.705	0.0187564	
1.70775	0.0194699	
1.7105	0.020999	
1.71325	0.0218145	
1.716	0.022528	
1.71875	0.024159	
1.7215	0.0250765	
1.72425	0.02579	
1.727	0.0273191	
1.72975	0.0280326	
1.7325	0.0288481	
1.73525	0.0303772	
1.738	0.0311927	
1.74075	0.0327217	
1.7435	0.0334353	
1.74625	0.0342508	
1.749	0.0357798	
1.75175	0.0365953	
1.7545	0.0373089	
1.75725	0.0388379	
1.76	0.0396534	
1.76275	0.0404689	
1.7655	0.0420999	
1.76825	0.0429154	
1.771	0.0443425	
1.77375	0.045158	
1.7765	0.0458716	
1.77925	0.0474006	
1.782	0.0481142	
1.78475	0.0488277	
1.7875	0.0503568	
1.79025	0.0510703	
1.793	0.0518858	
1.79575	0.0533129	
1.7985	0.0540265	
1.80125	0.0555556	
1.804	0.0562691	
1.80675	0.058104	
1.8095	0.0582059	
1.81225	0.0590214	
1.815	0.059633	
1.81775	0.0609582	
1.8205	0.0615698	
1.82325	0.0621814	
1.826	0.0636086	
1.82875	0.0641182	
1.8315	0.0649337	
1.83425	0.066157	
1.837	0.0667686	
1.83975	0.0678899	
1.8425	0.0685015	
1.84525	0.0691131	
1.848	0.0703364	
1.85075	0.0710499	
1.8535	0.0715596	
1.85625	0.0727829	
1.859	0.0733945	
1.86175	0.0746177	
1.8645	0.0753313	
1.86725	0.0759429	
1.87	0.0771662	
1.87275	0.0777778	
1.8755	0.0783894	
1.87825	0.0795107	
1.881	0.0801223	
1.88375	0.0812436	
1.8865	0.0817533	
1.88925	0.082263	
1.892	0.0832824	
1.89475	0.083894	
1.8975	0.0844037	
1.90025	0.0856269	
1.903	0.0862385	
1.90575	0.0867482	
1.9085	0.0879715	
1.91125	0.0884811	
1.914	0.0896024	
1.91675	0.0902141	
1.9195	0.0908257	
1.92225	0.091947	
1.925	0.0925586	
1.92775	0.0936799	
1.9305	0.0942915	
1.93325	0.0948012	
1.936	0.0959225	
1.93875	0.0964322	
1.9415	0.0970438	
1.94425	0.0981651	
1.947	0.0986748	
1.94975	0.0992864	
1.9525	0.100408	
1.95525	0.101019	
1.958	0.102141	
1.96075	0.10265	
1.9635	0.103262	
1.96625	0.104383	
1.969	0.104995	
1.97175	0.105607	
1.9745	0.106728	
1.97725	0.107339	
1.98	0.107747	
1.98275	0.10897	
1.9855	0.109582	
1.98825	0.110601	
1.991	0.111213	
1.99375	0.111723	
1.9965	0.112844	
1.99925	0.113354	
2.002	0.113863	
2.00475	0.114985	
2.0075	0.115494	
2.01025	0.116106	
2.013	0.116922	
2.01575	0.117125	
2.0185	0.117329	
2.02125	0.117533	
2.024	0.117635	
2.02675	0.117941	
2.0295	0.118043	
2.03225	0.118145	
2.035	0.118451	
2.03775	0.118552	
2.0405	0.118858	
2.04325	0.11896	
2.046	0.119062	
2.04875	0.119368	
2.0515	0.11947	
2.05425	0.119572	
2.057	0.119878	
2.05975	0.11998	
2.0625	0.120285	
2.06525	0.120387	
2.068	0.120591	
2.07075	0.120795	
2.0735	0.120897	
2.07625	0.121101	
2.079	0.121305	
2.08175	0.121509	
2.0845	0.121713	
2.08725	0.121814	
2.09	0.122018	
2.09275	0.122222	
2.0955	0.122426	
2.09825	0.122528	
2.101	0.122732	
2.10375	0.122936	
2.1065	0.12314	
2.10925	0.123344	
2.112	0.123445	
2.11475	0.123649	
2.1175	0.123853	
2.12025	0.124057	
2.123	0.124261	
2.12575	0.124363	
2.1285	0.124669	
2.13125	0.124771	
2.134	0.124873	
2.13675	0.125178	
2.1395	0.12528	
2.14225	0.125586	
2.145	0.125688	
2.14775	0.12579	
2.1505	0.126096	
2.15325	0.126198	
2.156	0.1263	
2.15875	0.126606	
2.1615	0.126707	
2.16425	0.127013	
2.167	0.127115	
2.16975	0.127319	
2.1725	0.127523	
2.17525	0.127625	
2.178	0.127829	
2.18075	0.128033	
2.1835	0.128236	
2.18625	0.12844	
2.189	0.128644	
2.19175	0.128746	
2.1945	0.129052	
2.19725	0.129154	
2.2	0.129256	
2.20275	0.129562	
2.2055	0.129766	
2.20825	0.129969	
2.211	0.130173	
2.21375	0.130275	
2.2165	0.130479	
2.21925	0.130683	
2.222	0.130785	
2.22475	0.131091	
2.2275	0.131193	
2.23025	0.131498	
2.233	0.1316	
2.23575	0.131804	
2.2385	0.132008	
2.24125	0.132212	
2.244	0.132314	
2.24675	0.13262	
2.2495	0.132722	
2.25225	0.133028	
2.255	0.133129	
2.25775	0.133333	
2.2605	0.133537	
2.26325	0.133639	
2.266	0.133843	
2.26875	0.134149	
2.2715	0.134251	
2.27425	0.134353	
2.277	0.134659	
2.27975	0.134862	
2.2825	0.135066	
2.28525	0.135168	
2.288	0.135372	
2.29075	0.135576	
2.2935	0.13578	
2.29625	0.135882	
