Input File: H12.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 800
Start Freq.: 100 Hz
Stop  Freq.: 5 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: On
Ramp Rate:          1 V/S
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  3.975845e+03  -4.987439e+00 
  3.981978e+03  -5.076191e+00 
  3.988110e+03  -5.262776e+00 
  3.994243e+03  -5.474078e+00 
  4.000375e+03  -5.748189e+00 
  4.006508e+03  -5.883872e+00 
  4.012641e+03  -5.968122e+00 
  4.018773e+03  -6.180195e+00 
  4.024906e+03  -6.373683e+00 
  4.031039e+03  -6.486770e+00 
  4.037171e+03  -6.558084e+00 
  4.043304e+03  -6.641408e+00 
  4.049437e+03  -6.888894e+00 
  4.055570e+03  -7.075661e+00 
  4.061702e+03  -7.204620e+00 
  4.067835e+03  -7.320053e+00 
  4.073968e+03  -7.483698e+00 
  4.080100e+03  -7.582691e+00 
  4.086233e+03  -7.673276e+00 
  4.092365e+03  -7.701841e+00 
  4.098498e+03  -7.871257e+00 
  4.104631e+03  -7.908070e+00 
  4.110764e+03  -7.849885e+00 
  4.116896e+03  -7.872493e+00 
  4.123029e+03  -8.057003e+00 
  4.129162e+03  -8.032802e+00 
  4.135294e+03  -7.977920e+00 
  4.141427e+03  -7.849631e+00 
  4.147560e+03  -7.637029e+00 
  4.153692e+03  -7.530534e+00 
  4.159825e+03  -7.405531e+00 
  4.165958e+03  -7.147705e+00 
  4.172090e+03  -6.982975e+00 
  4.178223e+03  -6.770325e+00 
  4.184355e+03  -6.604230e+00 
  4.190488e+03  -6.239842e+00 
  4.196621e+03  -5.761384e+00 
  4.202753e+03  -5.399371e+00 
  4.208886e+03  -5.119857e+00 
  4.215019e+03  -4.846837e+00 
  4.221151e+03  -4.694720e+00 
  4.227284e+03  -4.409163e+00 
  4.233417e+03  -4.083819e+00 
  4.239549e+03  -3.869729e+00 
  4.245682e+03  -3.700387e+00 
  4.251815e+03  -3.560097e+00 
  4.257947e+03  -3.375813e+00 
  4.264080e+03  -3.224082e+00 
  4.270213e+03  -3.095430e+00 
  4.276345e+03  -2.894234e+00 
  4.282478e+03  -2.507551e+00 
  4.288611e+03  -2.390939e+00 
  4.294744e+03  -2.364409e+00 
  4.300876e+03  -2.187496e+00 
  4.307009e+03  -1.923160e+00 
  4.313142e+03  -1.837744e+00 
  4.319274e+03  -1.772338e+00 
  4.325407e+03  -1.681101e+00 
  4.331540e+03  -1.475810e+00 
  4.337672e+03  -1.342602e+00 
  4.343805e+03  -1.260577e+00 
  4.349938e+03  -1.038387e+00 
  4.356070e+03  -7.513900e-01 
  4.362203e+03  -6.339479e-01 
  4.368335e+03  -4.103144e-01 
  4.374468e+03  -3.264545e-01 
  4.380601e+03  -1.772250e-01 
  4.386733e+03   8.126507e-02 
  4.392866e+03   1.241122e-02 
  4.398999e+03  -4.087419e-02 
  4.405131e+03  -8.363249e-02 
  4.411264e+03  -7.174856e-02 
  4.417397e+03   6.159060e-02 
  4.423529e+03   1.471772e-01 
  4.429662e+03   3.788756e-01 
  4.435795e+03   3.887557e-01 
  4.441927e+03   3.769504e-01 
  4.448060e+03   3.420393e-01 
  4.454193e+03   3.442360e-01 
  4.460325e+03   3.901694e-01 
  4.466458e+03   3.716911e-01 
  4.472591e+03   4.386123e-01 
  4.478724e+03   5.710117e-01 
  4.484856e+03   6.295200e-01 
  4.490989e+03   7.378054e-01 
  4.497122e+03   8.177384e-01 
  4.503254e+03   8.329561e-01 
