Freq.	-V(n001)/I(V1)	-V(n056)/I(V2)
3.00000000000000e+002	(9.66685182588670e+001dB,-8.99999691481542e+001°)	(1.24213235579897e+002dB,8.99999976991423e+001°)
3.01000000000000e+002	(9.54413919450551e+001dB,-8.99999644390321e+001°)	(1.24246189102077e+002dB,8.99999977047865e+001°)
3.02000000000000e+002	(9.40162814573894e+001dB,-8.99999580659787e+001°)	(1.24279063477726e+002dB,8.99999977103834e+001°)
3.03000000000000e+002	(9.23157961768133e+001dB,-8.99999489577865e+001°)	(1.24311859377873e+002dB,8.99999977159334e+001°)
3.04000000000000e+002	(9.02059016843411e+001dB,-8.99999348725221e+001°)	(1.24344577467496e+002dB,8.99999977214368e+001°)
3.05000000000000e+002	(8.74221867378214e+001dB,-8.99999101968938e+001°)	(1.24377218405602e+002dB,8.99999977268941e+001°)
3.06000000000000e+002	(8.33150451446994e+001dB,-8.99998557914180e+001°)	(1.24409782845313e+002dB,8.99999977323057e+001°)
3.07000000000000e+002	(7.52920331934148e+001dB,-8.99996365156719e+001°)	(1.24442271433941e+002dB,8.99999977376720e+001°)
3.08000000000000e+002	(6.95201626939756e+001dB,8.99992929916823e+001°)	(1.24474684813074e+002dB,8.99999977429935e+001°)
3.09000000000000e+002	(8.14208515266733e+001dB,8.99998202219307e+001°)	(1.24507023618650e+002dB,8.99999977482704e+001°)
3.10000000000000e+002	(8.62516993003476e+001dB,8.99998968326491e+001°)	(1.24539288481037e+002dB,8.99999977535032e+001°)
3.11000000000000e+002	(8.93310541736707e+001dB,8.99999275691106e+001°)	(1.24571480025105e+002dB,8.99999977586923e+001°)
3.12000000000000e+002	(9.15947511708107e+001dB,8.99999441414600e+001°)	(1.24603598870304e+002dB,8.99999977638381e+001°)
3.13000000000000e+002	(9.33846953753885e+001dB,8.99999545070276e+001°)	(1.24635645630736e+002dB,8.99999977689408e+001°)
3.14000000000000e+002	(9.48646480185488e+001dB,8.99999616027643e+001°)	(1.24667620915228e+002dB,8.99999977740010e+001°)
3.15000000000000e+002	(9.61258540621986e+001dB,8.99999667651081e+001°)	(1.24699525327401e+002dB,8.99999977790189e+001°)
3.16000000000000e+002	(9.72244002034408e+001dB,8.99999706895211e+001°)	(1.24731359465745e+002dB,8.99999977839949e+001°)
3.17000000000000e+002	(9.81972385672854e+001dB,8.99999737736237e+001°)	(1.24763123923682e+002dB,8.99999977889294e+001°)
3.18000000000000e+002	(9.90700085297778e+001dB,8.99999762612185e+001°)	(1.24794819289639e+002dB,8.99999977938228e+001°)
3.19000000000000e+002	(9.98612298297062e+001dB,8.99999783101106e+001°)	(1.24826446147110e+002dB,8.99999977986752e+001°)
3.20000000000000e+002	(1.00584716647830e+002dB,8.99999800269531e+001°)	(1.24858005074728e+002dB,8.99999978034872e+001°)
3.21000000000000e+002	(1.01251047983085e+002dB,8.99999814864190e+001°)	(1.24889496646323e+002dB,8.99999978082590e+001°)
3.22000000000000e+002	(1.01868505091265e+002dB,8.99999827423523e+001°)	(1.24920921430995e+002dB,8.99999978129910e+001°)
3.23000000000000e+002	(1.02443692195094e+002dB,8.99999838345565e+001°)	(1.24952279993164e+002dB,8.99999978176835e+001°)
3.24000000000000e+002	(1.02981960792330e+002dB,8.99999847930916e+001°)	(1.24983572892647e+002dB,8.99999978223367e+001°)
3.25000000000000e+002	(1.03487707716764e+002dB,8.99999856410833e+001°)	(1.25014800684706e+002dB,8.99999978269511e+001°)
3.26000000000000e+002	(1.03964589507547e+002dB,8.99999863966134e+001°)	(1.25045963920117e+002dB,8.99999978315270e+001°)
3.27000000000000e+002	(1.04415679792969e+002dB,8.99999870740241e+001°)	(1.25077063145225e+002dB,8.99999978360646e+001°)
3.28000000000000e+002	(1.04843586952761e+002dB,8.99999876848369e+001°)	(1.25108098902003e+002dB,8.99999978405642e+001°)
3.29000000000000e+002	(1.05250543513390e+002dB,8.99999882384140e+001°)	(1.25139071728112e+002dB,8.99999978450262e+001°)
3.30000000000000e+002	(1.05638475052816e+002dB,8.99999887424411e+001°)	(1.25169982156954e+002dB,8.99999978494509e+001°)
3.31000000000000e+002	(1.06009054004712e+002dB,8.99999892032867e+001°)	(1.25200830717731e+002dB,8.99999978538385e+001°)
3.32000000000000e+002	(1.06363742167185e+002dB,8.99999896262727e+001°)	(1.25231617935498e+002dB,8.99999978581894e+001°)
3.33000000000000e+002	(1.06703824647092e+002dB,8.99999900158811e+001°)	(1.25262344331220e+002dB,8.99999978625037e+001°)
3.34000000000000e+002	(1.07030437230713e+002dB,8.99999903759131e+001°)	(1.25293010421820e+002dB,8.99999978667819e+001°)
3.35000000000000e+002	(1.07344588651753e+002dB,8.99999907096139e+001°)	(1.25323616720240e+002dB,8.99999978710242e+001°)
3.36000000000000e+002	(1.07647178857158e+002dB,8.99999910197704e+001°)	(1.25354163735485e+002dB,8.99999978752308e+001°)
3.37000000000000e+002	(1.07939014104027e+002dB,8.99999913087899e+001°)	(1.25384651972681e+002dB,8.99999978794020e+001°)
3.38000000000000e+002	(1.08220819525350e+002dB,8.99999915787621e+001°)	(1.25415081933117e+002dB,8.99999978835381e+001°)
3.39000000000000e+002	(1.08493249657324e+002dB,8.99999918315100e+001°)	(1.25445454114307e+002dB,8.99999978876394e+001°)
3.40000000000000e+002	(1.08756897312711e+002dB,8.99999920686312e+001°)	(1.25475769010026e+002dB,8.99999978917061e+001°)
3.41000000000000e+002	(1.09012301102329e+002dB,8.99999922915316e+001°)	(1.25506027110369e+002dB,8.99999978957385e+001°)
3.42000000000000e+002	(1.09259951844802e+002dB,8.99999925014534e+001°)	(1.25536228901793e+002dB,8.99999978997368e+001°)
3.43000000000000e+002	(1.09500298055983e+002dB,8.99999926994980e+001°)	(1.25566374867164e+002dB,8.99999979037013e+001°)
3.44000000000000e+002	(1.09733750672301e+002dB,8.99999928866458e+001°)	(1.25596465485807e+002dB,8.99999979076322e+001°)
3.45000000000000e+002	(1.09960687132633e+002dB,8.99999930637720e+001°)	(1.25626501233549e+002dB,8.99999979115298e+001°)
3.46000000000000e+002	(1.10181454920704e+002dB,8.99999932316606e+001°)	(1.25656482582765e+002dB,8.99999979153943e+001°)
3.47000000000000e+002	(1.10396374651327e+002dB,8.99999933910159e+001°)	(1.25686410002424e+002dB,8.99999979192259e+001°)
3.48000000000000e+002	(1.10605742769120e+002dB,8.99999935424722e+001°)	(1.25716283958128e+002dB,8.99999979230250e+001°)
3.49000000000000e+002	(1.10809833916738e+002dB,8.99999936866027e+001°)	(1.25746104912163e+002dB,8.99999979267916e+001°)
3.50000000000000e+002	(1.11008903019963e+002dB,8.99999938239262e+001°)	(1.25775873323535e+002dB,8.99999979305261e+001°)
3.51000000000000e+002	(1.11203187129432e+002dB,8.99999939549136e+001°)	(1.25805589648017e+002dB,8.99999979342286e+001°)
