% Model:              M -220721 - Diapharagm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 28 2022, 22:02
% Dimension:          1
% Nodes:              580
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM-2DX
269.1534803926917         6.004049566243269E-5
272.27013080779125        6.292683507707071E-5
275.4228703338166         6.60951417089673E-5
278.61211686297696        6.958928356056594E-5
281.8382931264455         7.346273125163492E-5
285.10182675039096        7.778133696152976E-5
288.40315031266056        8.262712742604824E-5
291.7427014001166         8.810361731532015E-5
295.1209226666387         9.434330970937868E-5
298.538261891796          1.0151863114269392E-4
301.9951720402016         1.0985818446464033E-4
305.49211132155125        1.196716443021407E-4
309.0295432513592         1.3138921027611606E-4
312.6079367123956         1.4562654602375393E-4
316.22776601683796        1.6329680684172652E-4
319.88951096913974        1.8581500880510322E-4
323.5936569296281         2.154977117779817E-4
327.3406948788383         2.564170735077919E-4
331.1311214825911         3.1645256322635217E-4
334.9654391578276         4.130982128286645E-4
338.84415613920277        5.945637293434381E-4
342.76778654645045        0.0010599288111723998
346.73685045253166        0.004870883541957439
350.75187395256796        0.0018773692681232316
354.8133892335753         7.870805315094355E-4
358.92193464500536        4.979178876812604E-4
363.0780547701014         3.641279479297078E-4
367.2823004980846         2.8699497324519087E-4
371.53522909717276        2.368132380721411E-4
375.8374042884443         2.0155423198112122E-4
380.1893963205613         1.754203371505585E-4
384.5917820453535         1.5527286115854183E-4
389.04514499428046        1.392645051771261E-4
393.55007545577723        1.2623714594012288E-4
398.1071705534973         1.1542786703707102E-4
402.71703432545905        1.063136246188007E-4
407.3802778041126         9.852385049209458E-5
412.0975190973304         9.178866069231651E-5
416.8693834703355         8.590683664419166E-5
421.6965034285823         8.072529584417958E-5
426.57951880159254        7.612550565468722E-5
431.519076827765          7.201426178210902E-5
436.5158322401661         6.831726238133342E-5
441.57044735331255        6.497455013218052E-5
446.683592150963          6.19372093965507E-5
451.8559443749226         5.916493529486992E-5
457.0881896148752         5.662421973630998E-5
462.38102139926036        5.4286977978932214E-5
467.73514128719813        5.212949187963697E-5
473.15125896148027        5.013159436358713E-5
478.6300923226385         4.827602959821518E-5
484.1723675840994         4.654794419158922E-5
489.77881936844614        4.4934484419341026E-5
495.45019080479057        4.342447087912213E-5
501.18723362727246        4.20081342200872E-5
506.99070827470445        4.067689886060472E-5
512.8613839913648         3.942320795591253E-5
518.8000389289609         3.824037452011023E-5
524.8074602497722         3.712246104823802E-5
530.8844442309885         3.6064177122442356E-5
537.0317963702527         3.506079371866301E-5
543.250331492433          3.410807030542437E-5
549.5408738576248         3.320219393026022E-5
555.9042572704037         3.233972618192199E-5
562.341325190349          3.151755879229507E-5
568.8529308438414         3.073287449581685E-5
575.4399373371566         2.998311428727529E-5
582.1032177708715         2.926594823499887E-5
588.843655355589          2.8579250176307136E-5
595.6621435290103         2.792107654461351E-5
602.5595860743581         2.7289646730536538E-5
609.5368972401693         2.668332652023927E-5
616.5950018614822         2.6100613337103495E-5
623.7348354824192         2.5540123433809797E-5
630.957344480193          2.5000580143921693E-5
638.263486190549          2.4480803858910327E-5
645.6542290346556         2.3979703051217014E-5
653.1305526474723         2.3496266049176427E-5
660.6934480075964         2.3029554070282008E-5
668.3439175686149         2.2578694621218817E-5
676.0829753919819         2.2142875990026477E-5
683.9116472814293         2.1721341691260895E-5
691.8309709189363         2.1313386301326828E-5
699.841996002273          2.0918350814177135E-5
707.945784384138          2.0535619194823208E-5
716.143410212902          2.016461481950279E-5
724.4359600749899         1.9804797420813634E-5
732.8245331389045         1.945566024384013E-5
741.3102413009177         1.9116727537718043E-5
749.8942093324558         1.8787552217437428E-5
758.5775750291835         1.8467713668235454E-5
767.3614893618186         1.8156816014667496E-5
776.247116628692          1.7854486127750944E-5
785.2356346100718         1.756037217197107E-5
794.3282347242813         1.7274142056211894E-5
803.5261221856177         1.6995482076346353E-5
812.8305161640995         1.672409566223513E-5
822.2426499470712         1.6459702292252086E-5
831.7637711026708         1.6202036342101195E-5
841.3951416451947         1.595084621487444E-5
851.1380382023768         1.5705893382674682E-5
860.9937521846008         1.5466951526287586E-5
870.9635899560806         1.5233805852281102E-5
881.0488730080147         1.5006252323595842E-5
891.2509381337459         1.478409701840656E-5
901.571137605957          1.4567155532834612E-5
912.0108393559096         1.4355252393864776E-5
922.5714271547629         1.414822056839363E-5
