Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.08642562361706e+002	(-4.45294428880339e+001dB,-9.00003397832414e+001°)	(-1.01213040255196e+002dB,-9.00003397832414e+001°)	(-9.95222227487502e+001dB,8.99996585824523e+001°)	(-1.56205820115912e+002dB,8.99996585824523e+001°)
1.08893009333343e+002	(-4.45051103743473e+001dB,-9.00003407366138e+001°)	(-1.01208707741510e+002dB,-9.00003407366138e+001°)	(-9.94978695328536e+001dB,8.99996576253097e+001°)	(-1.56201466900016e+002dB,8.99996576253097e+001°)
1.09144033644875e+002	(-4.44807556833355e+001dB,-9.00003416935343e+001°)	(-1.01204353050498e+002dB,-9.00003416935343e+001°)	(-9.94734940439733e+001dB,8.99996566646102e+001°)	(-1.56197091411136e+002dB,8.99996566646102e+001°)
1.09395636627209e+002	(-4.44563786902596e+001dB,-9.00003426540229e+001°)	(-1.01199976057422e+002dB,-9.00003426540229e+001°)	(-9.94490961569281e+001dB,8.99996557003339e+001°)	(-1.56192693524090e+002dB,8.99996557003339e+001°)
1.09647819614318e+002	(-4.44319792695637e+001dB,-9.00003436180995e+001°)	(-1.01195576636726e+002dB,-9.00003436180995e+001°)	(-9.94246757457176e+001dB,8.99996547324608e+001°)	(-1.56188273112880e+002dB,8.99996547324608e+001°)
1.09900583943252e+002	(-4.44075572948688e+001dB,-9.00003445857841e+001°)	(-1.01191154662031e+002dB,-9.00003445857841e+001°)	(-9.94002326835160e+001dB,8.99996537609710e+001°)	(-1.56183830050678e+002dB,8.99996537609710e+001°)
1.10153930954141e+002	(-4.43831126389655e+001dB,-9.00003455570970e+001°)	(-1.01186710006128e+002dB,-9.00003455570970e+001°)	(-9.93757668426654e+001dB,8.99996527858440e+001°)	(-1.56179364209828e+002dB,8.99996527858440e+001°)
1.10407861990207e+002	(-4.43586451738080e+001dB,-9.00003465320587e+001°)	(-1.01182242540970e+002dB,-9.00003465320587e+001°)	(-9.93512780946691e+001dB,8.99996518070594e+001°)	(-1.56174875461831e+002dB,8.99996518070594e+001°)
1.10662378397766e+002	(-4.43341547705068e+001dB,-9.00003475106898e+001°)	(-1.01177752137669e+002dB,-9.00003475106898e+001°)	(-9.93267663101849e+001dB,8.99996508245967e+001°)	(-1.56170363677347e+002dB,8.99996508245967e+001°)
1.10917481526240e+002	(-4.43096412993223e+001dB,-9.00003484930109e+001°)	(-1.01173238666485e+002dB,-9.00003484930109e+001°)	(-9.93022313590183e+001dB,8.99996498384350e+001°)	(-1.56165828726181e+002dB,8.99996498384350e+001°)
1.11173172728159e+002	(-4.42851046296576e+001dB,-9.00003494790431e+001°)	(-1.01168701996820e+002dB,-9.00003494790431e+001°)	(-9.92776731101153e+001dB,8.99996488485534e+001°)	(-1.56161270477278e+002dB,8.99996488485534e+001°)
1.11429453359173e+002	(-4.42605446300520e+001dB,-9.00003504688074e+001°)	(-1.01164141997214e+002dB,-9.00003504688074e+001°)	(-9.92530914315560e+001dB,8.99996478549309e+001°)	(-1.56156688798718e+002dB,8.99996478549309e+001°)
1.11686324778056e+002	(-4.42359611681734e+001dB,-9.00003514623250e+001°)	(-1.01159558535336e+002dB,-9.00003514623250e+001°)	(-9.92284861905471e+001dB,8.99996468575460e+001°)	(-1.56152083557709e+002dB,8.99996468575460e+001°)
