Freq.	-V(n001)/I(V1)	-V(n003)/I(V2)
1.72782598050787e+002	(1.48350577150406e+002dB,-9.00000000000000e+001°)	(9.64498836581920e+001dB,8.99999991333724e+001°)
1.73780082874938e+002	(1.48300577150407e+002dB,-9.00000000000000e+001°)	(9.65001392071489e+001dB,8.99999991383214e+001°)
1.74783326241823e+002	(1.48250577150407e+002dB,-9.00000000000000e+001°)	(9.65503977228732e+001dB,8.99999991432419e+001°)
1.75792361395870e+002	(1.48200577150407e+002dB,-9.00000000000000e+001°)	(9.66006592398969e+001dB,8.99999991481340e+001°)
1.76807221773433e+002	(1.48150577150407e+002dB,-9.00000000000000e+001°)	(9.66509237931565e+001dB,8.99999991529978e+001°)
1.77827941003893e+002	(1.48100577150407e+002dB,-9.00000000000000e+001°)	(9.67011914179969e+001dB,8.99999991578336e+001°)
1.78854552910778e+002	(1.48050577150407e+002dB,-9.00000000000000e+001°)	(9.67514621501768e+001dB,8.99999991626414e+001°)
1.79887091512880e+002	(1.48000577150408e+002dB,-9.00000000000000e+001°)	(9.68017360258735e+001dB,8.99999991674216e+001°)
1.80925591025383e+002	(1.47950577150407e+002dB,-9.00000000000000e+001°)	(9.68520130816878e+001dB,8.99999991721741e+001°)
1.81970085860999e+002	(1.47900577150407e+002dB,-9.00000000000000e+001°)	(9.69022933546489e+001dB,8.99999991768992e+001°)
1.83020610631107e+002	(1.47850577150407e+002dB,-9.00000000000000e+001°)	(9.69525768822196e+001dB,8.99999991815970e+001°)
1.84077200146897e+002	(1.47800577150407e+002dB,-9.00000000000000e+001°)	(9.70028637023016e+001dB,8.99999991862677e+001°)
1.85139889420528e+002	(1.47750577150407e+002dB,-9.00000000000000e+001°)	(9.70531538532403e+001dB,8.99999991909115e+001°)
1.86208713666288e+002	(1.47700577150407e+002dB,-9.00000000000000e+001°)	(9.71034473738302e+001dB,8.99999991955284e+001°)
1.87283708301756e+002	(1.47650577150407e+002dB,-9.00000000000000e+001°)	(9.71537443033206e+001dB,8.99999992001187e+001°)
1.88364908948981e+002	(1.47600577150408e+002dB,-9.00000000000000e+001°)	(9.72040446814204e+001dB,8.99999992046824e+001°)
1.89452351435660e+002	(1.47550577150407e+002dB,-9.00000000000000e+001°)	(9.72543485483039e+001dB,8.99999992092198e+001°)
1.90546071796326e+002	(1.47500577150407e+002dB,-9.00000000000000e+001°)	(9.73046559446163e+001dB,8.99999992137310e+001°)
1.91646106273540e+002	(1.47450577150407e+002dB,-9.00000000000000e+001°)	(9.73549669114792e+001dB,8.99999992182161e+001°)
1.92752491319095e+002	(1.47400577150407e+002dB,-9.00000000000000e+001°)	(9.74052814904962e+001dB,8.99999992226754e+001°)
1.93865263595222e+002	(1.47350577150407e+002dB,-9.00000000000000e+001°)	(9.74555997237589e+001dB,8.99999992271088e+001°)
1.94984459975806e+002	(1.47300577150406e+002dB,-9.00000000000000e+001°)	(9.75059216538521e+001dB,8.99999992315167e+001°)
1.96110117547606e+002	(1.47250577150407e+002dB,-9.00000000000000e+001°)	(9.75562473238606e+001dB,8.99999992358991e+001°)
1.97242273611487e+002	(1.47200577150407e+002dB,-9.00000000000000e+001°)	(9.76065767773741e+001dB,8.99999992402562e+001°)
1.98380965683652e+002	(1.47150577150407e+002dB,-9.00000000000000e+001°)	(9.76569100584939e+001dB,8.99999992445881e+001°)
1.99526231496889e+002	(1.47100577150407e+002dB,-9.00000000000000e+001°)	(9.77072472118389e+001dB,8.99999992488949e+001°)
2.00678109001820e+002	(1.47050577150407e+002dB,-9.00000000000000e+001°)	(9.77575882825513e+001dB,8.99999992531769e+001°)
2.01836636368157e+002	(1.47000577150407e+002dB,-9.00000000000000e+001°)	(9.78079333163034e+001dB,8.99999992574341e+001°)
2.03001851985970e+002	(1.46950577150407e+002dB,-9.00000000000000e+001°)	(9.78582823593035e+001dB,8.99999992616667e+001°)
2.04173794466954e+002	(1.46900577150407e+002dB,-9.00000000000000e+001°)	(9.79086354583025e+001dB,8.99999992658748e+001°)
2.05352502645716e+002	(1.46850577150407e+002dB,-9.00000000000000e+001°)	(9.79589926606003e+001dB,8.99999992700586e+001°)
2.06538015581054e+002	(1.46800577150407e+002dB,-9.00000000000000e+001°)	(9.80093540140523e+001dB,8.99999992742182e+001°)
2.07730372557258e+002	(1.46750577150407e+002dB,-9.00000000000000e+001°)	(9.80597195670759e+001dB,8.99999992783538e+001°)
2.08929613085405e+002	(1.46700577150407e+002dB,-9.00000000000000e+001°)	(9.81100893686576e+001dB,8.99999992824655e+001°)
2.10135776904676e+002	(1.46650577150407e+002dB,-9.00000000000000e+001°)	(9.81604634683593e+001dB,8.99999992865533e+001°)
2.11348903983666e+002	(1.46600577150408e+002dB,-9.00000000000000e+001°)	(9.82108419163255e+001dB,8.99999992906175e+001°)
2.12569034521712e+002	(1.46550577150407e+002dB,-9.00000000000000e+001°)	(9.82612247632899e+001dB,8.99999992946583e+001°)
2.13796208950225e+002	(1.46500577150406e+002dB,-9.00000000000000e+001°)	(9.83116120605829e+001dB,8.99999992986756e+001°)
2.15030467934027e+002	(1.46450577150407e+002dB,-9.00000000000000e+001°)	(9.83620038601385e+001dB,8.99999993026697e+001°)
2.16271852372704e+002	(1.46400577150407e+002dB,-9.00000000000000e+001°)	(9.84124002145011e+001dB,8.99999993066407e+001°)
2.17520403401954e+002	(1.46350577150407e+002dB,-9.00000000000000e+001°)	(9.84628011768337e+001dB,8.99999993105887e+001°)
2.18776162394957e+002	(1.46300577150407e+002dB,-9.00000000000000e+001°)	(9.85132068009242e+001dB,8.99999993145138e+001°)
2.20039170963742e+002	(1.46250577150407e+002dB,-9.00000000000000e+001°)	(9.85636171411939e+001dB,8.99999993184163e+001°)
2.21309470960566e+002	(1.46200577150407e+002dB,-9.00000000000000e+001°)	(9.86140322527042e+001dB,8.99999993222961e+001°)
2.22587104479302e+002	(1.46150577150407e+002dB,-9.00000000000000e+001°)	(9.86644521911650e+001dB,8.99999993261535e+001°)
2.23872113856836e+002	(1.46100577150407e+002dB,-9.00000000000000e+001°)	(9.87148770129418e+001dB,8.99999993299886e+001°)
2.25164541674464e+002	(1.46050577150407e+002dB,-9.00000000000000e+001°)	(9.87653067750641e+001dB,8.99999993338014e+001°)
2.26464430759308e+002	(1.46000577150407e+002dB,-9.00000000000000e+001°)	(9.88157415352329e+001dB,8.99999993375922e+001°)
2.27771824185734e+002	(1.45950577150408e+002dB,-9.00000000000000e+001°)	(9.88661813518291e+001dB,8.99999993413610e+001°)
2.29086765276779e+002	(1.45900577150407e+002dB,-9.00000000000000e+001°)	(9.89166262839213e+001dB,8.99999993451080e+001°)
2.30409297605586e+002	(1.45850577150408e+002dB,-9.00000000000000e+001°)	(9.89670763912745e+001dB,8.99999993488333e+001°)
2.31739464996850e+002	(1.45800577150407e+002dB,-9.00000000000000e+001°)	(9.90175317343579e+001dB,8.99999993525370e+001°)
2.33077311528266e+002	(1.45750577150407e+002dB,-9.00000000000000e+001°)	(9.90679923743538e+001dB,8.99999993562193e+001°)
2.34422881531994e+002	(1.45700577150407e+002dB,-9.00000000000000e+001°)	(9.91184583731660e+001dB,8.99999993598802e+001°)
2.35776219596127e+002	(1.45650577150407e+002dB,-9.00000000000000e+001°)	(9.91689297934282e+001dB,8.99999993635199e+001°)
2.37137370566168e+002	(1.45600577150408e+002dB,-9.00000000000000e+001°)	(9.92194066985133e+001dB,8.99999993671385e+001°)
2.38506379546513e+002	(1.45550577150408e+002dB,-9.00000000000000e+001°)	(9.92698891525420e+001dB,8.99999993707361e+001°)
2.39883291901951e+002	(1.45500577150407e+002dB,-9.00000000000000e+001°)	(9.93203772203914e+001dB,8.99999993743129e+001°)
2.41268153259165e+002	(1.45450577150407e+002dB,-9.00000000000000e+001°)	(9.93708709677049e+001dB,8.99999993778689e+001°)
2.42661009508244e+002	(1.45400577150407e+002dB,-9.00000000000000e+001°)	(9.94213704609008e+001dB,8.99999993814043e+001°)
2.44061906804200e+002	(1.45350577150407e+002dB,-9.00000000000000e+001°)	(9.94718757671819e+001dB,8.99999993849192e+001°)
2.45470891568505e+002	(1.45300577150407e+002dB,-9.00000000000000e+001°)	(9.95223869545447e+001dB,8.99999993884138e+001°)
2.46888010490623e+002	(1.45250577150407e+002dB,-9.00000000000000e+001°)	(9.95729040917893e+001dB,8.99999993918880e+001°)
2.48313310529559e+002	(1.45200577150407e+002dB,-9.00000000000000e+001°)	(9.96234272485288e+001dB,8.99999993953421e+001°)
2.49746838915417e+002	(1.45150577150407e+002dB,-9.00000000000000e+001°)	(9.96739564951993e+001dB,8.99999993987762e+001°)
2.51188643150960e+002	(1.45100577150407e+002dB,-9.00000000000000e+001°)	(9.97244919030696e+001dB,8.99999994021903e+001°)
2.52638771013192e+002	(1.45050577150408e+002dB,-9.00000000000000e+001°)	(9.97750335442516e+001dB,8.99999994055846e+001°)
2.54097270554933e+002	(1.45000577150407e+002dB,-9.00000000000000e+001°)	(9.98255814917100e+001dB,8.99999994089593e+001°)
2.55564190106416e+002	(1.44950577150407e+002dB,-9.00000000000000e+001°)	(9.98761358192730e+001dB,8.99999994123143e+001°)
2.57039578276889e+002	(1.44900577150407e+002dB,-9.00000000000000e+001°)	(9.99266966016426e+001dB,8.99999994156498e+001°)
2.58523483956221e+002	(1.44850577150407e+002dB,-9.00000000000000e+001°)	(9.99772639144052e+001dB,8.99999994189660e+001°)
